Comment,Author,Date,Time,Score
i really enjoyed this video because it’s explained in a really simple way and it made me and my friends understand how the human behaves,@renatahernandez8923,2024-12-06,18:45:29Z,2
amazing video 🙌,@HiBiyaCh888,2024-11-13,19:50:17Z,3
"ok, i don't even have one of those dog breeds but i still take offense at them being called violent breeds.  i believe dogs become like their owners to a large extent.  violent people have violent dogs because they made them that way through example.",@dawnmatsui8256,2024-11-08,00:20:28Z,-7
🎉,@lensdark,2024-11-06,05:47:18Z,0
most people with addictions are either mentally unstable or mentally weak it’s a characteristic,@DoubleDIKK,2024-11-04,14:32:38Z,-4
the dog part haha,@Lagerboyy,2024-11-04,05:43:35Z,-1
"u.s government intelligence attempted to homicide as a child then continues abusive psychological approaches to fish for the assumptions ideas and thoughts of the victim they have tried to homicide as a child:





abusive psychological techniques used on vulnerable populations with u s government intelligence surveillance. purposely inflicting mental disruption then referring to it as intrusive thoughts. here are some events that involved abuse of federal intelligence power and resources & threatening display of power:

michael quijano a navy recruiter who had a child with a black woman and was stationed by the navy to clark airforce base philippines '80s. at this time federal intelligence evaluated the navy recruiter as lustful and determined his relationship to the black woman was pure lust and not sincere. federal intelligence cia then used analyst intelligence eavrsdropping conversations to evaluate each parent and had the parents follow abusive instructions on their child so that later the years of influential scenarios and situations would structure psychological harm into the victim by strategizing years of situations and obtain personal information to be applied in inflict paranoia and confusion. this was the intelligence agency initial plan before the internet was ever created. today fbi cia participates in hacking and harrassment by using the established surveillance which was applied onto both the ex-wife and the navy recruiters family. federal intelligence uses the surveillance hacking to strategic observe and determine the best psychological influential bait to use on the victim that the agency refers freely as a "" n*gg*r. 

various psychological approaches are used to determine the best way to traumatize the victim who they attempted to homicide as a child and which the cia fbi staff refers to as a n-word then communicates to others remotely that the victim they want to murder through abusive forms of psychological approaches is that the victim they want to traumatize is confused. the federal intelligence uses their surveillance and eavesdropping equipment to attempt homicide with u.s government clearance to apply abusive psychological approaches and ongoing surveillance while referring to the victim they abused as a child as a n*gg*r. 
( fact - conroe texas michael quijano was under instructions to bring the black woman and black child to the feed store. federal intelligence communicates to michael that his black wife and the black child are animals)

( fact : michael quijano was paired with younger woman tammy busch) 

school used to have the black child be intimidated by affluent environment was called castle hills first baptist school. now school is referred to as christian school at castle hills

use of movie references because federal intelligence observed evaluated and considered the father or mother as a pair of actors insincere in their relationship. so movies are applied onto the couple as research investigation to protect an agency who supports the use of psychological practices to inflict harm into the victim they originally attempted to homicide as a child and now refers to the victim as a n*gg*r. as the agency presses for the victim to interact with them so they can evaluate and determine the ideas, assumptions and mood of the victim so they can observe ways to apply abusive psychological approaches and practices by remotely communicating to those around the victim they have attempted to homicide since 1980 before the internet was ever created.

today i still experience constant use of surveillance hacking and remote hidden communication to others who assist federal intelligence in forming traumatic results onto the test subject /victim.",@AshleyQuijano-p9o,2024-10-21,06:01:27Z,-37
"#2 although i think i'm being a bit off-topic, i think something like that can also be good for workplace issues. i.e., if your manager is upset with you, think of it from their perspective. or, if you are a manager, think of it from the employees perspective.

it can be amazing how often even some empathy can make a world of difference.

e.g., saying something like ""i have to do (insert task no-one wants to do, but is essential) sometimes as well and it's annoying but it's one of those really important that someone does it and right now, you're the only one that can it.""

i.e., just showing that yes, their feelings are valid, but we all need to do things maybe we shouldn't have to do, but they still need someone to do them and we happen to be that person. yes, it's sucks, but, to use one example, we are here to work and not play. maybe some work is something you shouldn't have to do, but right now isn't the right time to discuss this.

another example can be if an employees responds in a way that seems to be an angry/offended manor, rather then take a how dare you attitude, taking a 'i didn't mean to offend' attitude can work a lot better. sometimes, they might even be upset with themselves for being or sounding angry or and calm down and apologize right away. will it always work? i doubt it, but i think it's better then escalating it.",@ExplodingConsole,2024-10-10,06:42:24Z,19
okay then what would you say about the human heart ?,@noval115,2024-10-07,09:28:10Z,1
what would you say who speaks more than one languages ??,@noval115,2024-10-07,09:02:48Z,0
you have an annoying voice and sound as if you're announcing the benefits of a new soap sold by procter & gamble or that we are 9-years-old and must remain excited by the narration,@joegoldman3065,2024-10-07,03:26:53Z,0
self center minded negitiveas in democracy  ideology 😂😂😂😂,@CarlRoberts-h2v,2024-10-05,13:37:00Z,0
"silly question, does third-person pov correlate to introspection? old video, doubt someone will respond, lol. thanks!",@danielpanuco1371,2024-10-02,18:15:33Z,-3
human and animal behaviour is a very interesting study! i am obsessed with it soo much!  very good content 👏👍,@Dk-gn7up,2024-09-02,06:37:59Z,6
#2 was a beautiful tip 🙏 thank you,@GSozei,2024-08-20,09:12:36Z,3
just the balance of chemicals. 👋,@jimmyit4722,2024-08-15,02:02:54Z,2
"the ignorance in this video behind the belief of violent breeds. there is some truth to this point but it's not about picking a "" violent breed"" because they're a violent person. pitbulls are known to be one of the more aggressive breeds but when i raised a pit bull she ended up being the sweetest thing on the face of the planet. if an aggressive owner owns a normally docile breed of dog that normally docile breed of dog will be a hostile dog i believe is the true point behind this part in the video",@matthewvoorhies7840,2024-08-14,18:05:14Z,-13
